metric,metric,min,max,median,mean,std
LL,RMSE,0.015030,1.387365,0.033907,0.206508,0.420986
LL,AUC,0.240699,1.133297,0.897923,0.755744,0.294426
LL,Prec,0.347141,1.176070,1.039028,0.964146,0.239933
LL,Recall,0.569690,1.146488,0.827338,0.841406,0.168830
LL,Auc,0.266941,1.176070,0.631948,0.673950,0.337577
RMSE,AUC,0.243417,1.163049,0.865837,0.761555,0.294831
RMSE,Prec,0.287890,1.173762,0.993116,0.869801,0.321131
RMSE,Recall,0.563993,1.138887,0.817903,0.860127,0.183265
RMSE,Auc,0.258656,1.165653,0.374628,0.574664,0.319043
AUC,Prec,0.464047,0.834494,0.788476,0.738429,0.124691
AUC,Recall,0.632072,1.117790,0.954218,0.870432,0.167372
AUC,Auc,0.562443,1.074035,0.768813,0.789085,0.168902
Prec,Recall,0.825953,0.843797,0.843797,0.839831,0.007419
Prec,Auc,0.000000,0.955123,0.843797,0.597657,0.425339
Recall,Auc,0.000000,0.843797,0.479364,0.439071,0.343269
