metric,metric,min,max,median,mean,std
LL,RMSE,0.000081,0.029389,0.001418,0.004387,0.007048
LL,AUC,0.148681,0.859166,0.448585,0.492472,0.198960
LL,Prec,0.121456,1.239289,0.624730,0.676332,0.303479
LL,Recall,0.210706,1.009587,0.682141,0.654071,0.229668
LL,Auc,0.121456,1.004579,0.443078,0.479938,0.233833
RMSE,AUC,0.148823,0.859131,0.447559,0.491538,0.199155
RMSE,Prec,0.122392,1.239358,0.622613,0.675496,0.303197
RMSE,Recall,0.209712,1.012030,0.682048,0.654208,0.230059
RMSE,Auc,0.122392,1.005645,0.442306,0.481353,0.233858
AUC,Prec,0.217289,1.059577,0.766679,0.705440,0.206916
AUC,Recall,0.338802,1.104335,0.813738,0.784577,0.168378
AUC,Auc,0.000000,1.104335,0.657459,0.564255,0.314228
Prec,Recall,0.479364,0.929467,0.825953,0.793279,0.115876
Prec,Auc,0.000000,0.955123,0.767490,0.556668,0.370262
Recall,Auc,0.000000,0.912879,0.649061,0.490985,0.377850
