questions,guesses,slips
About,0.5,0.5
Overview/Lecture 2: Service Oriented Architecture and Cloud Computing/Quiz 0/Overview,0.5,0.5
Week 1/Lecture 1: Course Introduction,0.5,0.5
Week 1/Lecture 1: Course Introduction/vertical_f273407a57b6/L1V1: Engineering software is different from engineering hardware!,0.5,0.5
Week 1/Lecture 2: Service Oriented Architecture and Cloud Computing,0.5,0.5
Week 1/Lecture 2: Service Oriented Architecture and Cloud Computing/vertical_3dc08bb663c1/L2V1: Service Oriented Architecture,0.5,0.5
Week 2/Homework 1,0.5,0.5
/courses/DemoX/CS999.1x/2012_Fall/wiki/CS999.1x/illustrated-vm-install/,0.5,0.5
Week 2,0.5,0.5
Week 2/Lecture 3: Introduction to Ruby,0.5,0.5
Week 2/Lecture 3: Introduction to Ruby/vertical_5e9552e16b5d/L3V1: Ruby 101,0.5,0.5
Week 2/Lecture 4: Ruby continued,0.5,0.5
Week 2/Lecture 4: Ruby continued/vertical_6e9d26efd1d9/L4V1: Everything is an object,0.5,0.5
Week 2/Lecture 4: Ruby continued/vertical_7af57fd1bdcc/L4P1: Poetry mode for hashes,0,1
Week 2/Lecture 4: Ruby continued/vertical_c610798c3373/L4V2: Hashes and Poetry Mode,0.5,0.5
Week 2/Lecture 4: Ruby continued/vertical_b796b26f0a86/L4V4: Instance Variables,0.5,0.5
Week 2/Lecture 4: Ruby continued/vertical_22dabccf096f/L4P3: Class and instance methods,0.5,0.5
Week 2/Lecture 4: Ruby continued/vertical_230da699266c/L4P4: Metaprogramming question,0.5,0.5
Week 2/Lecture 4: Ruby continued/vertical_6077a7457ef4/L4P5: Method chaining,0.5,0.5
Week 2/Lecture 4: Ruby continued/vertical_482cc28304b7/Computer History (Optional),0.5,0.5
Week 2/Homework 1/Quiz 1,0.5,0.5
Week 3/Lecture 5: SaaS Architecture and Introduction to Rails,0.5,0.5
Week 3/Lecture 5: SaaS Architecture and Introduction to Rails/vertical_b6dfccf39862/L5V1: Intro to Web Architecture,0.5,0.5
Week 3/Lecture 7: Rails continued,0.5,0.5
Week 3/Lecture 7: Rails continued/vertical_74bc16fd5cd2/L7V1: Debugging in Rails,0.5,0.5
Week 4/Lecture 9: Behavior Driven Design Part 2,0.5,0.5
Week 4/Lecture 8: Behavior Driven Design,0.5,0.5
Week 4/Lecture 8: Behavior Driven Design/vertical_5df57cf9702c/L8V1: Introduction to Behavior-Driven Design and User Stories,0.5,0.5
Week 4/Lecture 8: Behavior Driven Design/vertical_362d2831032a/L8P1: BDD User Stories,0.5,0.5
Week 4/Lecture 8: Behavior Driven Design/vertical_76d0530a0749/L8P2: SMART Features,0.195500455901,2.12247880407601e-17
Week 4/Lecture 8: Behavior Driven Design/vertical_08bfca96c326/L8P3: Cucumber and Capybara,0.227230024519535,1.73061821305417e-05
Week 4/Lecture 8: Behavior Driven Design/vertical_9f1315533a0a/L8P4: Lo-Fi User Interface Design,0.50590019534963,0.702401862658797
Week 4/Lecture 8: Behavior Driven Design/vertical_b86398e70e85/L8V5: Conclusion,0.5,0.5
Week 5/Lecture 11: Test Driven Development Part 2,0.5,0.5
Week 5/Lecture 11: Test Driven Development Part 2/vertical_a338407ae489/L11P1: Fixtures,0.5,0.5
Week 5/Lecture 11: Test Driven Development Part 2/vertical_e50a6fbd6bfb/L11P2: Implicit Requirements,0.5,0.5
Week 5/Lecture 11: Test Driven Development Part 2/vertical_742c362d155f/L11P3: TDD,0.5,0.5
Week 5/Lecture 11: Test Driven Development Part 2/vertical_643aa037f6d5/L11V4: TDD Summary,0.5,0.5
Week 5/Lecture 10: Test Driven Development,0.5,0.5
Week 5/Lecture 10: Test Driven Development/vertical_363341db5c61/L10V1: Testing Overview,0.5,0.5
Week 5/Lecture 10: Test Driven Development/vertical_39690d03b7ec/L10P1: BDD and TDD,0.5,0.5
Week 5/Lecture 10: Test Driven Development/vertical_1686b9ea2f33/L10P2: Model Methods,0.5,0.5
Week 2/Homework 1/hw1-1/HW 1-1: Fun with strings,0.5,0.5
Week 4/Homework 3/Quiz 2,0.5,0.5
Week 5/Homework 4/Quiz 3,0.5,0.5
Week 3/Homework 2,0.5,0.5
Week 3/Homework 2/hw2-1/Deploy RottenPotatoes and Enhancement #1,0.5,0.5
Week 3/Homework 2/hw2-2/RottenPotatoes Enhancement #2: Filter the List of Movies,0.5,0.5
Overview/edX Tutorial,0.5,0.5
Overview/edX Tutorial/Quiz 0/edX: Introduction,0.5,0.5
Overview/edX Tutorial/Quiz 0/edX: Courseware Accordion,0.5,0.5
Overview/edX Tutorial/vertical_716814cd7576/Checking and submitting answers,0.649509272934976,0.0503534946024155
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/illustrated-vm-install/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/course_wiki,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/,0.5,0.5
Overview/edX Tutorial/vertical_716814cd7576/edX: Top-Level Navigation,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/getting-started/,0.5,0.5
/courses/DemoX/CS999.1x/2012_Fall/course_wiki,0.5,0.5
