questions,guesses,slips
Overview/Lecture 2: Service Oriented Architecture and Cloud Computing/Quiz 0/Overview,0.5,0.5
Week 2/Homework 1/Quiz 1,0.5,0.5
Week 4/Homework 3/Quiz 2,0.5,0.5
Week 5/Homework 4/Quiz 3,0.5,0.5
Overview/edX Tutorial/Quiz 0/edX: Introduction,0.5,0.5
Overview/edX Tutorial/Quiz 0/edX: Courseware Accordion,0.5,0.5
Week 1/Lecture 2: Service Oriented Architecture and Cloud Computing/Quiz 0,0.00367160956665573,0.140238504154655
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/quiz-errata/,0.5,0.5
quizz,0.5,0.5
quiz,0.5,0.5
quiz 0 question 5,0.5,0.5
